NT,NR,NTR,g2(0)
8260,10357,20,1.1689231949663361
8106,10361,34,2.024140470776496
8164,10467,30,1.7553593578698867
8064,10413,37,2.203156463456089
8052,10581,28,1.6432269728852997
8060,10319,29,1.7433932010550774
8146,10291,40,2.3857669153916152
8012,10389,24,1.4416723168207548
8295,10391,34,1.97231004319417
7991,10428,39,2.3400894475790444
8418,10511,42,2.3733748569956883
8064,10651,27,1.5717840041847178
8180,10334,34,2.011069874977701
8331,10599,27,1.5288741645849346
8069,10410,34,2.023850723627826
8137,10398,31,1.8319666743751097
8245,10392,34,1.9840797441330764
8468,10292,43,2.466935717943008
8384,10611,34,1.910914857907069
8378,10560,29,1.638942540709072
8261,10638,36,2.0482355372552536
8307,10532,40,2.2859932030106895
8355,10592,36,2.0339865594168156
8448,10391,44,2.506175215731562
8205,10507,29,1.6819407183174422
8286,10538,29,1.6605994090464968
8277,10414,37,2.1462544066953484
8318,10530,33,1.8838080872223695
8273,10384,24,1.3968621261694296
8242,10499,32,1.849010752667793
8315,10387,38,2.199891267479511
8307,10490,25,1.4344661829187668
8059,10640,36,2.0991802001591644
8167,10428,34,1.996114012208421
8138,10421,32,1.886656782629004
8422,10457,40,2.27095040886986
8321,10338,27,1.5693568907984978
8293,10378,36,2.0914484923758687
8184,10545,34,1.969866146436605
7988,10276,22,1.3400794067707245
8147,10512,26,1.5179598470195395
8120,10570,38,2.213719468148072
8231,10689,35,1.9890622263796276
8168,10441,35,2.0520135482611543
8100,10435,37,2.188740409471922
8391,10458,39,2.222144276238379
8045,10574,35,2.057181898256956
8163,10333,37,2.193287192024392
8117,10338,27,1.6087986557021439
8208,10417,32,1.8712851481150263
8220,10476,31,1.799966369660603
8078,10457,27,1.598169402310451
8406,10470,31,1.7611470953230524
8214,10400,24,1.4047311344608642
8256,10640,36,2.0490907501311417
8426,10526,34,1.9167439490310274
8260,10235,37,2.1882847514404236
8202,10441,28,1.6348058192828196
8290,10267,30,1.7623540726768971
8213,10551,38,2.1925936655530482
8471,10422,42,2.3786664339651273
8328,10346,30,1.7409170092327095
8183,10450,32,1.8710747628851272
8246,10458,25,1.4494994171156983
8365,10491,30,1.7092611701499416
8373,10244,27,1.5739216433252923
8287,10513,40,2.2956516764553063
8470,10471,41,2.3114382253476373
8438,10360,35,2.001883371876261
8368,10394,28,1.609621082320253
8348,10570,38,2.153258514777473
8183,10359,31,1.8285267322999232
8323,10427,45,2.5926461654112174
8174,10426,37,2.1707978083249837
8347,10654,34,1.911638706401734
8184,10455,31,1.8115154413576222
8322,10482,30,1.7195681490307069
8145,10383,33,1.9510571980796632
8048,10469,32,1.8990080911037739
8083,10544,26,1.5253354940219053
8246,10607,35,2.0007929542636336
8298,10335,31,1.807372985697383
8284,10375,36,2.0943261214825504
8346,10570,40,2.267131065794184
8477,10314,43,2.459060137150591
8244,10402,39,2.273944071331037
8294,10580,29,1.6524118603513689
8267,10422,34,1.973103717914693
8390,10457,31,1.7666992689170464
8160,10393,28,1.6508094626285037
8316,10322,28,1.630983998742185
8300,10212,41,2.4186050901608787
8214,10480,32,1.8586773280398203
8222,10351,36,2.1150114559595514
8299,10636,42,2.379113719868468
8303,10586,37,2.104770755309387
8205,10582,28,1.612433056674373
8278,10544,29,1.661258373200479
8116,10565,34,1.9826104074917483
8198,10433,34,1.9876128692274433
8326,10688,48,2.6969841244726496
8061,10531,26,1.53138651464098
8180,10485,32,1.8655128469708153
8185,10361,42,2.476275365829888
8468,10526,42,2.3559988802498273
8261,10523,33,1.8980679313451114
8173,10364,28,1.652795540738742
8293,10371,41,2.383535153068244
8340,10569,24,1.3613860543696747
8274,10511,26,1.4948024454140116
8232,10592,25,1.4335956652838089
8248,10502,41,2.3666454184238335
8148,10597,31,1.7951375999607895
8186,10528,27,1.5664486108315998
8373,10566,32,1.8085406932620263
8049,10471,29,1.7204335981507783
8256,10612,26,1.4838036214669952
8101,10629,27,1.5678435701846742
8266,10500,24,1.3825999792610004
8129,10467,28,1.6453893727567688
8252,10670,25,1.4196666304746322
